R,r,m,n_r,n_t,rho,p_r,p_t,Phi_unnormalized
10.0,9.985293128921189,0.0,0.9988232815800714,1.0014728532141148,1.0017684696629477e-06,-2.117582368135751e-22,5.307752539548484e-10,0.0
10.01,9.99530487713294,1.2578943047311815e-05,0.9988285719055401,1.001470202564874,1.001768469897929e-06,1.0616015705654382e-12,5.302453669109103e-10,6.311571057255948e-10
10.02,10.005316559847742,2.5183028075111933e-05,0.9988338363133242,1.0014675637761612,1.0017684678460364e-06,2.117690894443876e-12,5.297175424303153e-10,2.5229315015690327e-09
10.03,10.015328177325458,3.7812280152918506e-05,0.998839074930567,1.001464936786371,1.0017684635119513e-06,3.1682942021281075e-12,5.291917688617016e-10,5.672785527919308e-09
10.04,10.025339729824667,5.0466724350121667e-05,0.9988442878836599,1.0014623215342737,1.0017684569003494e-06,4.213437568680381e-12,5.286680346267641e-10,1.0078191653447217e-08
10.05,10.035351217602624,6.314638573598633e-05,0.9988494752982107,1.0014597179590168,1.0017684480158691e-06,5.253146907379652e-12,5.281463282166545e-10,1.5736632768147908e-08
10.06,10.045362640915265,7.585128937964304e-05,0.9988546372990557,1.0014571260001224,1.0017684368631197e-06,6.287447971627406e-12,5.276266381951573e-10,2.2645602062229014e-08
10.07,10.055374000017268,8.858146035010053e-05,0.9988597740102968,1.0014545455974793,1.0017684234467032e-06,7.316366365112058e-12,5.271089531961493e-10,3.0802602678454114e-08
10.08,10.06538529516206,0.00010133692371623685,0.9988648855553015,1.001451976691341,1.0017684077712097e-06,8.339927541173672e-12,5.265932619246578e-10,4.0205147711925824e-08
10.09,10.075396526601805,0.00011411770454680153,0.9988699720567031,1.0014494192223242,1.001768389841214e-06,9.358156804074514e-12,5.260795531564374e-10,5.085076021008657e-08
10.1,10.08540769458741,0.0001269238279104156,0.9988750336364002,1.0014468731314077,1.0017683696612744e-06,1.0371079306246194e-11,5.255678157364879e-10,6.27369731727187e-08
10.11,10.095418799368527,0.00013975531887557162,0.9988800704155573,1.0014443383599285,1.0017683472359253e-06,1.1378720049771976e-11,5.250580385790536e-10,7.586132955194443e-08
10.12,10.10542984119355,0.00015261220251063364,0.9988850825146043,1.0014418148495827,1.0017683225696777e-06,1.2381103884057432e-11,5.245502106646596e-10,9.022138225222585e-08
10.13,10.115440820309614,0.00016549450388383952,0.9988900700532368,1.0014393025424215,1.0017682956670117e-06,1.337825550688924e-11,5.240443210420168e-10,1.0581469413036778e-07
10.14,10.12545173696265,0.0001784022480632908,0.9988950331504559,1.0014368013808452,1.0017682665324057e-06,1.4370199475446604e-11,5.235403588275989e-10,1.2263883759677284e-07
10.15,10.13546259139738,0.00019133546011696674,0.9988999719245547,1.0014343113076023,1.0017682351703194e-06,1.5356960201219066e-11,5.230383132064891e-10,1.4069139473955095e-07
10.16,10.145473383857267,0.00020429416511271576,0.9989048864930947,1.0014318322657914,1.0017682015851749e-06,1.6338561943230235e-11,5.225381734262396e-10,1.5996995756573005e-07
10.17,10.155484114584588,0.00021727838811825653,0.9989097769729528,1.0014293641988534,1.0017681657813889e-06,1.73150288211668e-11,5.220399288034356e-10,1.8047212754613258e-07
10.18,10.165494783820439,0.00023028815420117818,0.9989146434803206,1.0014269070505695,1.0017681277633664e-06,1.8286384814955015e-11,5.215435687196719e-10,2.021955156150028e-07
10.19,10.17550539180473,0.00024332348842893997,0.9989194861307047,1.0014244607650586,1.0017680875354979e-06,1.9252653763913663e-11,5.210490826219769e-10,2.251377421700068e-07
10.2,10.185515938776184,0.0002563844158688716,0.9989243050389272,1.0014220252867776,1.0017680451021574e-06,2.021385936781285e-11,5.205564600230238e-10,2.4929643707223225e-07
10.21,10.195526424972345,0.00026947096158817536,0.9989291003191246,1.001419600560517,1.0017680004676963e-06,2.1170025184756423e-11,5.200656904981665e-10,2.746692396461935e-07
10.22,10.205536850629564,0.00028258315065391696,0.998933872084749,1.0014171865314019,1.0017679536364449e-06,2.212117463054669e-11,5.195767636869214e-10,3.012537986798128e-07
10.23,10.215547215983015,0.00029572100813303915,0.9989386204485673,1.0014147831448885,1.0017679046127037e-06,2.3067330980166737e-11,5.190896692904268e-10,3.290477724244477e-07
10.24,10.225557521266738,0.0003088845590923521,0.9989433455226981,1.0014123903467587,1.0017678534007714e-06,2.4008517376674263e-11,5.186043970737717e-10,3.580488282195844e-07
10.25,10.235567766713627,0.0003220738285985353,0.9989480474185997,1.0014100080831185,1.0017678000049282e-06,2.4944756828025215e-11,5.181209368649374e-10,3.8825464260974006e-07
10.26,10.245577952555392,0.00033528884171813854,0.9989527262470478,1.0014076363004012,1.0017677444294215e-06,2.587607219902697e-11,5.176392785522565e-10,4.196629015714369e-07
10.27,10.25558807902263,0.0003485296235175809,0.9989573821181792,1.0014052749453588,1.001767686678491e-06,2.68024862257379e-11,5.171594120871652e-10,4.522713000847738e-07
10.28,10.265598146344816,0.00036179619906315046,0.9989620151414912,1.0014029239650601,1.001767626756365e-06,2.7724021512290993e-11,5.166813274806042e-10,4.860775421330757e-07
10.29,10.275608154750316,0.00037508859342100427,0.9989666254258418,1.0014005833068897,1.0017675646672593e-06,2.8640700532587922e-11,5.162050148066176e-10,5.210793407028936e-07
10.3,10.285618104466373,0.0003884068316571712,0.9989712130794497,1.0013982529185468,1.001767500415373e-06,2.955254562966377e-11,5.157304641989659e-10,5.572744177840108e-07
10.31,10.295627995719116,0.0004017509388375418,0.9989757782098944,1.0013959327480422,1.0017674340048852e-06,3.045957901441648e-11,5.15257665850278e-10,5.946605043694176e-07
10.32,10.305637828733555,0.00041512094002788295,0.9989803209241157,1.0013936227436988,1.0017673654399538e-06,3.136182276560685e-11,5.147866100128987e-10,6.332353404553488e-07
10.33,10.31564760373359,0.00042851686029382846,0.9989848413284146,1.001391322854148,1.0017672947247083e-06,3.225929883007031e-11,5.143172869974064e-10,6.729966750412597e-07
10.34,10.325657320942046,0.00044193872470088004,0.9989893395284865,1.001389033028325,1.0017672218632772e-06,3.315202903097547e-11,5.138496871724013e-10,7.139422657763833e-07
10.35,10.335666980580674,0.00045538655831440784,0.9989938156294101,1.0013867532154679,1.0017671468597714e-06,3.404003506634182e-11,5.13383800967258e-10,7.560698790699209e-07
10.36,10.345676582870105,0.00046886038619965123,0.9989982697356274,1.00138448336512,1.001767069718271e-06,3.492333849993413e-11,5.129196188655614e-10,7.993772903047455e-07
10.37,10.355686128029921,0.00048236023342171743,0.9990027019509833,1.0013822234271212,1.0017669904428472e-06,3.580196077460322e-11,5.124571314104004e-10,8.438622834338501e-07
10.38,10.365695616278654,0.0004958861250455839,0.9990071123787255,1.0013799733516082,1.0017669090375621e-06,3.667592321143892e-11,5.119963292018268e-10,8.895226509800261e-07
10.39,10.37570504783377,0.0005094380861360889,0.9990115011215048,1.0013777330890121,1.0017668255064655e-06,3.754524700998184e-11,5.115372028966438e-10,9.363561940358303e-07
10.4,10.385714422911697,0.0005230161417579456,0.9990158682813746,1.0013755025900566,1.0017667398535892e-06,3.8409953245046975e-11,5.110797432090409e-10,9.843607222636338e-07
10.41,10.395723741727801,0.0005366203169757332,0.9990202139597915,1.0013732818057577,1.0017666520829495e-06,3.9270062870958895e-11,5.106239409061472e-10,1.0335340538955892e-06
10.42,10.405733004496398,0.000550250636853898,0.9990245382576148,1.0013710706874217,1.0017665621985394e-06,4.012559671731656e-11,5.101697868135371e-10,1.08387401573364e-06
10.43,10.415742211430752,0.000563907126456755,0.9990288412751068,1.0013688691866434,1.0017664702043287e-06,4.097657549026389e-11,5.097172718073952e-10,1.1353784431495183e-06
10.44,10.425751362743117,0.0005775898108484855,0.9990331231119642,1.0013666772553007,1.0017663761042817e-06,4.182301978096007e-11,5.09266386822775e-10,1.1880451797516627e-06
10.45,10.435760458644733,0.0005912987150931385,0.9990373838673074,1.001364494845555,1.0017662799023493e-06,4.2664950063038464e-11,5.088171228476692e-10,1.241872077489145e-06
10.46,10.445769499345783,0.0006050338642546332,0.9990416236396621,1.0013623219098515,1.001766181602452e-06,4.3502386685195086e-11,5.083694709217401e-10,1.2968569968530165e-06
10.47,10.455778485055458,0.0006187952833967479,0.999045842526996,1.001360158400914,1.0017660812085029e-06,4.43353498832588e-11,5.079234221409771e-10,1.3529978064959152e-06
10.48,10.465787415981957,0.0006325829975831353,0.9990500406267188,1.0013580042717416,1.0017659787244037e-06,4.516385977913255e-11,5.074789676534625e-10,1.4102923832318116e-06
10.49,10.475796292332484,0.0006463970318773119,0.9990542180356818,1.0013558594756098,1.0017658741540473e-06,4.598793638058157e-11,5.07036098661065e-10,1.4687386120359704e-06
10.5,10.485805114313251,0.0006602374113426615,0.9990583748501788,1.0013537239660666,1.001765767501308e-06,4.6807599579751124e-11,5.06594806417746e-10,1.5283343860449608e-06
10.51,10.495813882129475,0.0006741041610424341,0.9990625111659452,1.0013515976969332,1.0017656587700457e-06,4.7622869154648764e-11,5.061550822295593e-10,1.5890776065566548e-06
10.52,10.505822595985379,0.0006879973060397466,0.9990666270781586,1.0013494806223016,1.0017655479640975e-06,4.843376476850909e-11,5.057169174538042e-10,1.6509661830302287e-06
10.53,10.51583125608419,0.0007019168713975825,0.9990707226814383,1.0013473726965343,1.00176543508728e-06,4.9240305967887903e-11,5.052803034998725e-10,1.7139980330861627e-06
10.54,10.525839862628196,0.000715862882178791,0.9990747980698748,1.0013452738742568,1.0017653201434034e-06,5.0042512192826624e-11,5.048452318250136e-10,1.778171082192155e-06
10.55,10.535848415818705,0.0007298353634460902,0.9990788533370198,1.0013431841103606,1.0017652031362662e-06,5.084040277219359e-11,5.044116939421689e-10,1.8434832637612151e-06
10.56,10.545856915856046,0.0007438343402620571,0.9990828885758696,1.001341103360002,1.0017650840696357e-06,5.163399691987242e-11,5.039796814106552e-10,1.909932519341417e-06
10.57,10.555865362939604,0.0007578598376891414,0.9990869038788982,1.001339031578597,1.0017649629472753e-06,5.2423313742597057e-11,5.035491858410346e-10,1.9775167982572607e-06
10.58,10.565873757267832,0.0007719118807896562,0.9990908993380576,1.00133696872182,1.0017648397729361e-06,5.320837224101058e-11,5.031201988934208e-10,2.046234057609333e-06
10.59,10.575882099038237,0.0007859904946257799,0.9990948750447786,1.0013349147456028,1.00176471455036e-06,5.398919130839464e-11,5.026927122787493e-10,2.116082262274316e-06
10.6,10.585890388447392,0.0008000957042595563,0.9990988310899692,1.001332869606132,1.001764587283272e-06,5.476578973215175e-11,5.022667177562366e-10,2.1870593849049923e-06
10.61,10.595898625690932,0.0008142275347528948,0.9991027675640163,1.0013308332598498,1.0017644579753824e-06,5.5538186190628964e-11,5.018422071333801e-10,2.2591634059302396e-06
10.62,10.605906810963553,0.0008283860111675705,0.9991066845567845,1.0013288056634513,1.0017643266303817e-06,5.630639925544716e-11,5.014191722663813e-10,2.3323923135550343e-06
10.63,10.615914944459016,0.0008425711585652261,0.9991105821576167,1.001326786773884,1.0017641932519397e-06,5.7070447389171724e-11,5.00997605057182e-10,2.4067441037604634e-06
10.64,10.625923026370176,0.0008567830020073615,0.9991144604553611,1.0013247765483422,1.0017640578437207e-06,5.7830348955265203e-11,5.005774974581219e-10,2.4822167800073256e-06
10.65,10.635931056888985,0.0008710215665553488,0.9991183195383614,1.0013227749442681,1.001763920409377e-06,5.858612221300508e-11,5.001588414683397e-10,2.558808353328823e-06
10.66,10.645939036206459,0.0008852868772704233,0.999122159494442,1.0013207819193517,1.001763780952533e-06,5.933778531218983e-11,4.99741629132502e-10,2.6365168425095483e-06
10.67,10.655946964512726,0.0008995789592136842,0.9991259804109387,1.0013187974315259,1.0017636394768065e-06,6.008535630542091e-11,4.993258525424973e-10,2.7153402737469983e-06
10.68,10.66595484199703,0.0009138978374460954,0.9991297823746991,1.0013168214389647,1.0017634959858067e-06,6.082885314450283e-11,4.989115038370129e-10,2.7952766806512983e-06
10.69,10.675962668847724,0.0009282435370284845,0.9991335654720822,1.0013148539000831,1.0017633504831308e-06,6.156829368065497e-11,4.984985752032286e-10,2.8763241042452013e-06
10.7,10.685970445252279,0.000942616083021544,0.9991373297889588,1.001312894773535,1.0017632029723631e-06,6.23036956655703e-11,4.980870588710995e-10,2.9584805929640883e-06
10.71,10.69597817139728,0.0009570155004858329,0.9991410754107113,1.0013109440182122,1.0017630534570723e-06,6.30350767497214e-11,4.976769471165321e-10,3.0417442026559826e-06
10.72,10.70598584746842,0.0009714418144817666,0.9991448024222338,1.0013090015932435,1.0017629019408072e-06,6.376245448384268e-11,4.972682322622315e-10,3.126112996581493e-06
10.73,10.715993473650512,0.0009858950500696328,0.9991485109079319,1.0013070674579945,1.0017627484271e-06,6.448584631681286e-11,4.968609066734663e-10,3.2115850454138977e-06
10.74,10.726001050127516,0.00100037523230958,0.9991522009517481,1.0013051415720602,1.0017625929194747e-06,6.520526960264296e-11,4.964549627601859e-10,3.2981584269593163e-06
10.75,10.736008577082538,0.0010148823862616196,0.9991558726371528,1.0013032238952686,1.0017624354214451e-06,6.592074160005279e-11,4.960503929791386e-10,3.3858312262442333e-06
10.76,10.746016054697794,0.001029416536985628,0.9991595260471304,1.0013013143876788,1.0017622759364984e-06,6.663227946527119e-11,4.956471898275181e-10,3.4746015356844648e-06
10.77,10.756023483154665,0.0010439777095413445,0.9991631612642078,1.0012994130095776,1.0017621144681162e-06,6.733990026177688e-11,4.952453458482582e-10,3.5644674547655613e-06
10.78,10.766030862633697,0.0010585659289883708,0.9991667783704545,1.0012975197214775,1.0017619510197706e-06,6.804362095987496e-11,4.94844853627703e-10,3.6554270900425414e-06
10.79,10.77603819331459,0.0010731812203861727,0.9991703774474829,1.001295634484116,1.0017617855949232e-06,6.874345843584987e-11,4.944457057953952e-10,3.747478555139893e-06
10.8,10.786045475376218,0.001087823608794081,0.9991739585764481,1.001293757258454,1.0017616181970224e-06,6.943942947175364e-11,4.940478950232295e-10,3.84061997075159e-06
10.81,10.796052708996603,0.0011024931192712816,0.9991775218380478,1.0012918880056758,1.0017614488295021e-06,7.013155075646466e-11,4.936514140271459e-10,3.934849464641026e-06
10.82,10.806059894352943,0.0011171897768768317,0.9991810673125223,1.0012900266871871,1.0017612774957785e-06,7.081983888399364e-11,4.932562555631069e-10,4.030165171641112e-06
10.83,10.816067031621587,0.0011319136066696486,0.999184595079655,1.0012881732646144,1.0017611041992493e-06,7.15043103530601e-11,4.928624124294266e-10,4.126565233654216e-06
