r,m,rho,p_r,p_t,DEC_slack,circular_speed_squared
10.0,0.0,0.0,0.0,0.0,0.0,0.0
10.01,3.491606997999704e-11,1.1085275253996625e-11,0.0,1.93333789469918e-23,1.1085275253977291e-11,3.4881188791449177e-12
10.02,5.573164774399528e-10,8.823976431455496e-11,0.0,2.4539657995703576e-21,8.8239764312101e-11,5.562040693632227e-11
10.03,2.81463898625976e-09,2.963231247600562e-10,0.0,4.157739880100052e-20,2.963231247184788e-10,2.8062203268588833e-10
10.04,8.87427039231925e-09,6.988898532930862e-10,0.0,3.088713916103193e-19,6.988898529842147e-10,8.838914749010991e-10
10.05,2.1613592187501228e-08,1.3582049326789098e-09,0.0,1.4604819725492317e-18,1.358204931218428e-09,2.150606197061281e-09
10.06,4.4710076321281475e-08,2.335259322895811e-09,0.0,5.189345103614308e-18,2.335259317706466e-09,4.444341622136698e-09
10.07,8.263143095914136e-08,3.689785298015865e-09,0.0,1.513864171354336e-17,3.6897852828772233e-09,8.205703308365379e-09
10.08,1.4062579613696052e-07,5.480271630315099e-09,0.0,3.822755865887812e-17,5.48027159208754e-09,1.395097222824342e-08
10.09,2.2471198921061857e-07,7.76397862310058e-09,0.0,8.645486413753364e-17,7.763978536645715e-09,2.2270763054473094e-08
10.1,3.4166979999999505e-07,1.0596952993724626e-08,0.0,1.7924054727423612e-16,1.0596952814484078e-08,3.3828695358067545e-08
10.11,4.990303355265698e-07,1.4034042608242048e-08,0.0,3.463607162692e-16,1.4034042261881332e-08,4.936007762521484e-08
10.12,7.050664142438219e-07,1.8128911069151404e-08,0.0,6.315260920327599e-16,1.812891043762531e-08,6.967060400085255e-08
10.13,9.687830096596828e-07,2.2934052157647627e-08,0.0,1.0966497691333002e-15,2.293405106099786e-08,9.563506366820654e-08
10.14,1.299907743249941e-06,2.850080413179244e-08,0.0,1.8268454378051785e-15,2.8500802304947e-08,1.281960627747584e-07
10.15,1.708881426562516e-06,3.4879363882012997e-08,0.0,2.9361929644684706e-15,3.487936094582003e-08,1.6836275881640384e-07
10.16,2.2068486524108877e-06,4.211880094529565e-08,0.0,4.5743041085863954e-15,4.211879637099154e-08,2.1720960739255377e-07
10.17,2.8056484350565364e-06,5.0267071379455714e-08,0.0,6.933717205749088e-15,5.026706444573851e-08,2.758751212461889e-07
10.18,3.5178048992793376e-06,5.9371031498834745e-08,0.0,1.025814586574125e-14,5.937102124068888e-08,3.45560641503848e-07
10.19,4.356518018235175e-06,6.947645147276719e-08,0.0,1.4851603115272735e-14,6.947643662116408e-08,4.275291210315813e-07
10.2,5.335654399999924e-06,8.06280287881445e-08,0.0,2.108841895337477e-14,8.062800769972555e-08,5.231039198238615e-07
10.21,6.469738122699283e-06,9.286940157739457e-08,0.0,2.9424165978654853e-14,9.28693721532286e-08,6.336676123434183e-07
10.22,7.77394161812233e-06,1.0624316181316323e-07,0.0,4.040750458721042e-14,1.0624312140565865e-07,7.606608067306982e-07
10.23,9.264076603721125e-06,1.2079086837101982e-07,0.0,5.469295622375695e-14,1.2079081367806358e-07,9.055809758029507e-07
10.24,1.095658506289156e-05,1.365530599614192e-07,0.0,7.305461029207173e-14,1.3655298690680893e-07,1.0699812997630676e-06
10.25,1.2868530273437502e-05,1.5356926793221342e-07,0.0,9.640076759024915e-14,1.5356917153144584e-07,1.2554695205397625e-06
10.26,1.501758788411643e-05,1.7187802894295087e-07,0.0,1.2578952052729972e-13,1.7187790315343035e-07,1.4637068076810597e-06
10.27,1.7422037039165833e-05,1.915168975122029e-07,0.0,1.6244526789647623e-13,1.91516735066935e-07,1.6964066357238864e-06
10.28,2.0100751550709575e-05,2.125224584391399e-07,0.0,2.0777615962349243e-13,2.125222506629803e-07,1.955333672963258e-06
10.29,2.3073191118943555e-05,2.3493033910057313e-07,0.0,2.633924646707701e-13,2.3493007570810846e-07,2.242302681545208e-06
10.3,2.635939260000025e-05,2.587752216246627e-07,0.0,3.3112585315835006e-13,2.5877489049880953e-07,2.559177428808292e-06
10.31,2.9979961321387964e-05,2.840908549424569e-07,0.0,4.130495817544537e-13,2.840904418928751e-07,2.907869609798722e-06
10.32,3.395606244491276e-05,3.109100667185021e-07,0.0,5.114995694908303e-13,3.109095552189326e-07,3.2903377808859553e-06
10.33,3.830941237697049e-05,3.3926477516160186e-07,0.0,6.29096349365531e-13,3.392641460652525e-07,3.708586304404127e-06
10.34,4.3062270226117065e-05,3.691860007169435e-07,0.0,7.687678794068243e-13,3.691852319490641e-07,4.164664304247235e-06
10.35,4.8237429307812294e-05,4.007038776407051e-07,0.0,9.337731952818246e-13,4.007029438675098e-07,4.66066463234529e-06
10.36,5.385820869623774e-05,4.338476654582798e-07,0.0,1.1277268850399264e-12,4.3384653773139476e-07,5.198722845949587e-06
10.37,5.994844482308684e-05,4.686457603072334e-07,0.0,1.3546243651807046e-12,4.686444056828682e-07,5.781016195655516e-06
10.38,6.653248312322866e-05,5.051257061661106e-07,0.0,1.618867935925829e-12,5.051240872981746e-07,6.409762624092088e-06
10.39,7.363516972713683e-05,5.433142059701463e-07,0.0,1.9252935923512077e-12,5.43312280676554e-07,7.087219775206824e-06
10.4,8.128184320000027e-05,5.832371326150652e-07,0.0,2.2791985668979636e-12,5.832348534164984e-07,7.815684014077437e-06
10.41,8.94983263273925e-05,6.249195398499126e-07,0.0,2.6863695777221833e-12,6.249168534803349e-07,8.597489457178346e-06
10.42,9.8310917947415e-05,6.683856730600808e-07,0.0,3.1531117563666984e-12,6.683825199483245e-07,9.435007013034125e-06
10.43,0.00010774638482920756,7.136589799415413e-07,0.0,3.686278227335134e-12,7.136552936633139e-07,1.0330643433190157e-05
10.44,0.00011783195359772619,7.607621210673349e-07,0.0,4.293300311320222e-12,7.607578277670236e-07,1.1286840373431849e-05
10.45,0.0001285953027046867,8.097169803473494e-07,0.0,4.9822183230806635e-12,8.097119981290263e-07,1.2306073465183871e-05
10.46,0.00014006455444557663,8.605446753824203e-07,0.0,5.761712934272084e-12,8.60538913669486e-07,1.3390851397021583e-05
10.47,0.00015226826702262152,9.132655677137045e-07,0.0,6.641137070913457e-12,9.132589265766335e-07,1.4543715006225564e-05
10.48,0.00016523542665363512,9.678992729684725e-07,0.0,7.63054831461423e-12,9.678916424201578e-07,1.5767236380314506e-05
10.49,0.00017899543972661335,1.0244646709031248e-06,0.0,8.740741776184752e-12,1.0244559301613487e-06,1.70640179684855e-05
10.5,0.00019357812500000004,1.0829799153445539e-06,0.0,9.983283409818703e-12,1.082969932061144e-06,1.8436691702897346e-05
10.51,0.0002090137058485126,1.1434624440307628e-06,0.0,1.1370543735651855e-11,1.1434510734870272e-06,1.988791812972906e-05
10.52,0.00022533280255442872,1.205928988351723e-06,0.0,1.291573193817583e-11,1.2059160726197846e-06,2.1420385549947174e-05
10.53,0.00024256642464423213,1.2703955829914135e-06,0.0,1.4632930307711266e-11,1.2703809500611059e-06,2.3036809169715398e-05
10.54,0.00026074596327051874,1.3368775754719919e-06,0.0,1.653712899192197e-11,1.336861038343e-06,2.4739930260380715e-05
10.55,0.00027990318363906383,1.4053896356010416e-06,0.0,1.8644261024177456e-11,1.4053709913400175e-06,2.6532515327970075e-05
10.56,0.00030007021748093034,1.4759457648227457e-06,0.0,2.0971237595441466e-11,1.4759247935851502e-06,2.8417355292130286e-05
10.57,0.0003212795555695668,1.54855930547409e-06,0.0,2.353598353628923e-11,1.5485357694905538e-06,3.039726467445005e-05
10.58,0.00034356404028272917,1.6232429499467537e-06,0.0,2.6357472975604497e-11,1.6232165924737782e-06,3.2475080796092896e-05
10.59,0.00036695685820917326,1.7000087497557735e-06,0.0,2.945576514252194e-11,1.699979293990631e-06,3.465366298468006e-05
10.6,0.00039149153279999905,1.7788681245157916e-06,0.0,3.2852040278215255e-11,1.7788352724755134e-06,3.693589179035696e-05
